timestamp_hour,prev_pip,previous 9 number,prev 8 pip change,prev9 prices,pips_output
7,-1,"[5, 7, 5, 7, 5, 5, 5, 7, 5]","[-1, 1, -1, 1, 0, 0, -1, 1]","[1.1862, 1.18615, 1.1862, 1.18615, 1.1862, 1.18625, 1.1862, 1.18615, 1.1862]",-1
12,1,"[1, 5, 3, 5, 3, 5, 5, 7, 5]","[-1, 0, -1, 1, -1, -1, 0, 1]","[1.1907, 1.19065, 1.1906, 1.19055, 1.1906, 1.19055, 1.1905, 1.19045, 1.19055]",3
12,1,"[5, 5, 7, 7, 7, 7, 5, 7, 5]","[-1, 0, -1, 1, -1, 1, 0, 0]","[1.19055, 1.1905, 1.19045, 1.1904, 1.19045, 1.1904, 1.1905, 1.19045, 1.1905]",2
13,-2,"[5, 3, 5, 3, 5, 5, 5, 7, 5]","[1, 0, 0, -1, 0, -1, 0, 0]","[1.19165, 1.1917, 1.19175, 1.1917, 1.19165, 1.1916, 1.19155, 1.1915, 1.19155]",0
13,2,"[9, 7, 9, 7, 9, 7, 5, 7, 5]","[1, -1, 1, -1, 1, 0, 0, 0]","[1.19145, 1.1915, 1.19145, 1.1915, 1.19145, 1.1915, 1.19155, 1.1915, 1.19155]",-1
16,-1,"[4, 3, 5, 7, 5, 7, 5, 7, 5]","[-1, 0, -1, 1, -1, 1, -1, 1]","[1.188, 1.18795, 1.1879, 1.18785, 1.1879, 1.18785, 1.1879, 1.18785, 1.1879]",1
19,-1,"[8, 3, 3, 7, 5, 7, 5, 7, 5]","[0, -1, 0, 0, 0, 85, -85, 0]","[1.1885, 1.18845, 1.1884, 1.18835, 1.1883, 1.18835, 1.1968, 1.18835, 1.1883]",0
6,-1,"[3, 5, 3, 5, 3, 5, 5, 7, 5]","[-1, 1, 0, 0, -1, -1, 0, 0]","[1.1906, 1.19055, 1.1906, 1.19065, 1.1906, 1.19055, 1.1905, 1.19045, 1.1905]",-1
10,1,"[5, 5, 5, 7, 5, 7, 5, 7, 5]","[1, -1, 0, 0, 0, 0, 0, 0]","[1.19155, 1.1916, 1.19155, 1.1915, 1.19155, 1.1915, 1.19155, 1.1915, 1.19155]",-1
11,1,"[9, 7, 9, 7, 9, 7, 5, 7, 5]","[1, -1, 1, -1, 1, 0, 0, 0]","[1.19145, 1.1915, 1.19145, 1.1915, 1.19145, 1.1915, 1.19155, 1.1915, 1.19155]",-1
11,2,"[9, 7, 9, 7, 5, 7, 5, 7, 5]","[1, -1, 1, 0, 0, 0, 0, 0]","[1.19145, 1.1915, 1.19145, 1.1915, 1.19155, 1.1915, 1.19155, 1.1915, 1.19155]",1
11,2,"[7, 7, 7, 7, 5, 5, 5, 7, 5]","[1, -1, 1, 0, 1, -1, 0, 0]","[1.1904, 1.19045, 1.1904, 1.19045, 1.1905, 1.19055, 1.1905, 1.19045, 1.1905]",2
12,17,"[5, 2, 7, 2, 9, 7, 5, 7, 5]","[-1, 1, -1, 0, 1, 0, 0, 0]","[1.1931, 1.19305, 1.19315, 1.19305, 1.193, 1.19315, 1.1931, 1.19315, 1.1931]",7
12,19,"[6, 1, 7, 5, 7, 1, 5, 7, 5]","[-1, -1, 0, 0, 1, -1, 0, 0]","[1.1933, 1.1932, 1.19315, 1.1931, 1.19315, 1.1932, 1.1931, 1.19315, 1.1931]",7
12,-6,"[8, 3, 8, 3, 3, 7, 5, 7, 5]","[-1, 1, -1, 0, -1, 0, -1, 1]","[1.1929, 1.19285, 1.1929, 1.19285, 1.1928, 1.19275, 1.1927, 1.19265, 1.1927]",-1
12,-6,"[8, 3, 3, 7, 5, 7, 5, 7, 5]","[-1, 0, -1, 0, -1, 1, -1, 1]","[1.1929, 1.19285, 1.1928, 1.19275, 1.1927, 1.19265, 1.1927, 1.19265, 1.1927]",-1
12,-6,"[3, 7, 5, 7, 5, 7, 5, 7, 5]","[-1, 0, -1, 1, -1, 1, -1, 1]","[1.1928, 1.19275, 1.1927, 1.19265, 1.1927, 1.19265, 1.1927, 1.19265, 1.1927]",-1
12,-6,"[5, 7, 5, 7, 5, 7, 5, 7, 5]","[-1, 1, -1, 1, -1, 1, -1, 1]","[1.1927, 1.19265, 1.1927, 1.19265, 1.1927, 1.19265, 1.1927, 1.19265, 1.1927]",-1
12,3,"[9, 4, 9, 9, 7, 7, 5, 7, 5]","[0, 0, 1, 1, 0, 1, -1, 1]","[1.1925, 1.19245, 1.1925, 1.19255, 1.1926, 1.19265, 1.1927, 1.19265, 1.1927]",0
12,3,"[9, 9, 7, 7, 5, 7, 5, 7, 5]","[1, 1, 0, 1, -1, 1, 0, 0]","[1.1925, 1.19255, 1.1926, 1.19265, 1.1927, 1.19265, 1.1927, 1.19275, 1.1927]",0
12,3,"[7, 7, 5, 7, 5, 7, 5, 7, 5]","[0, 1, -1, 1, 0, 0, 0, 0]","[1.1926, 1.19265, 1.1927, 1.19265, 1.1927, 1.19275, 1.1927, 1.19275, 1.1927]",0
12,3,"[5, 7, 5, 7, 5, 7, 5, 7, 5]","[-1, 1, 0, 0, 0, 0, 0, 0]","[1.1927, 1.19265, 1.1927, 1.19275, 1.1927, 1.19275, 1.1927, 1.19275, 1.1927]",0
12,3,"[5, 7, 5, 7, 5, 7, 5, 7, 5]","[0, 0, 0, 0, 0, 0, 0, 0]","[1.1927, 1.19275, 1.1927, 1.19275, 1.1927, 1.19275, 1.1927, 1.19275, 1.1927]",1
12,-1,"[5, 7, 5, 7, 5, 7, 5, 7, 5]","[0, 0, 0, 0, 0, 0, 0, 0]","[1.1927, 1.19275, 1.1927, 1.19275, 1.1927, 1.19275, 1.1927, 1.19275, 1.1927]",5
12,-1,"[5, 7, 5, 7, 5, 7, 5, 7, 5]","[0, 0, 0, 0, -1, 1, 0, 0]","[1.1927, 1.19275, 1.1927, 1.19275, 1.1927, 1.19265, 1.1927, 1.19275, 1.1927]",6
12,-1,"[5, 7, 7, 9, 9, 7, 5, 7, 5]","[-1, 0, -1, -1, 2, 1, -1, 1]","[1.1927, 1.19265, 1.1926, 1.19255, 1.1925, 1.1926, 1.1927, 1.19265, 1.1927]",6
12,-3,"[8, 9, 2, 5, 7, 2, 5, 7, 5]","[1, 0, 1, 0, -1, 1, 0, 0]","[1.19295, 1.193, 1.19305, 1.1931, 1.19315, 1.19305, 1.1931, 1.19315, 1.1931]",0
12,-3,"[5, 7, 5, 7, 1, 7, 5, 7, 5]","[0, 0, 0, 1, -1, 0, 0, 0]","[1.1931, 1.19315, 1.1931, 1.19315, 1.1932, 1.19315, 1.1931, 1.19315, 1.1931]",0
12,2,"[1, 3, 7, 5, 7, 1, 5, 7, 5]","[0, -1, 0, 0, 1, -1, 0, 0]","[1.1932, 1.19325, 1.19315, 1.1931, 1.19315, 1.1932, 1.1931, 1.19315, 1.1931]",2
13,6,"[5, 9, 5, 9, 5, 9, 5, 7, 5]","[-1, 1, -1, 1, -1, 1, 0, 0]","[1.1973, 1.19725, 1.1973, 1.19725, 1.1973, 1.19725, 1.1973, 1.19735, 1.1973]",1
13,6,"[5, 9, 9, 9, 5, 9, 5, 7, 5]","[-1, 0, 0, 1, -1, 1, 0, 0]","[1.1973, 1.19725, 1.1972, 1.19725, 1.1973, 1.19725, 1.1973, 1.19735, 1.1973]",0
13,7,"[5, 9, 5, 7, 5, 9, 5, 7, 5]","[-1, 1, 0, 0, -1, 1, 0, 0]","[1.1973, 1.19725, 1.1973, 1.19735, 1.1973, 1.19725, 1.1973, 1.19735, 1.1973]",-1
13,1,"[3, 7, 3, 7, 5, 7, 5, 7, 5]","[-1, 1, -1, 0, 0, 0, 0, 0]","[1.1974, 1.19735, 1.1974, 1.19735, 1.1973, 1.19735, 1.1973, 1.19735, 1.1973]",0
